Key,Type,Desc,Ru
Missions/#202_mission,Text,,"Тинитская знать всё ещё пытается объединить земли в долине Нила под властью одного правителя. Чтобы помочь им, установите процветающее поселение в Пер-Уаджите в плодородной дельте Нижнего Египта, распространив таким образом своё влияние по всей священной реке. Чтобы поддерживать население большого города, вам придётся научиться земледелию. Египетские земледельцы начали обрабатывать плодородную почву, богато удобряемую ежегодными разливами Нила.

Однако порой Нил может быть опасен. В водах реки таится множество угроз, включая смертельно опасных крокодилов и бегемотов, а вездесущие комары разносят малярию."
Missions/#203_mission,Text,,"В долине Нила, жители которой всё ещё продолжают осваивают суровый регион, к власти пришёл правитель Нармер. Хотя он владеет большей частью здешних земель, до объединения двух Царств ещё далеко. В ознаменование своего восхождения на трон Нармер повелел вашей династии основать новый город Нехен. В городе нужно воздвигнуть храмы богами Египта и выделить места для развлечений."
Missions/#204_mission,Text,,"После длительной борьбы царь Хор Аха добился объединения Верхнего и Нижнего Египта и провозгласил себя фараоном всего Египта! Чтобы продемонстрировать незыблемость своей власти и ознаменовать появление первой правящей династии Египта, Хор Аха повелел основать великолепную столицу Мен-нефер, откуда он будет править зарождающейся нацией.

Поскольку ваша династия на протяжении многих поколений верно служила этим землям, архитектором этого великолепного города фараон назначил именно вас. Столица является символом Царства, а потому её жителям необходимо обеспечить доселе невиданный уровень жизни. Для этого вам понадобится установить торговые пути к другим городам и обеспечить высокий уровень образования хотя бы для части населения. Кроме того, вы должны построить священную мастабу — усыпальницу для городской знати."
Missions/#206_mission,Text,,"По всем известным землям гремит слава непобедимой армии Египта, однако новый фараон Хасехемуи из второй династии требует большего — создать могущественный флот в Бехдете. Чтобы завоевать господство на море, понадобится целая армада военных кораблей, однако в нашем климате местных источников необходимой для их постройки древесины очень мало. В Библе, ливанском городе на северо-востоке, можно закупить за большие деньги великолепную кедровую древесину. К счастью, экспорт производимого нами папируса сможет компенсировать такие затраты."
Missions/#207_mission,Text,,"Абджу, место упокоения наших предков, с годами превратился в некрополь из священных гробниц. Здесь желают обрести покой самые могущественные люди Царства. В знак их уважения новый фараон Хасехемуи из второй династии приказал воздвигнуть три священные мастабы (одна из которых должны быть крупнее других). Также фараон повелел основать могущественный флот в Бехтеде. Чтобы защитить наши берега, Абджу также должен разместить у себя несколько военных кораблей.

Однако сделать это будет непросто: в нашем климате местных источников необходимой для их постройки древесины очень мало. В Библе, ливанском городе на северо-востоке, можно закупить за большие деньги великолепную кедровую древесину. К счастью, экспорт производимого нами папируса сможет компенсировать такие затраты."
Missions/#209_mission,Text,,"Был провозглашён новый фараон Небка, возвестивший о начале третьей династии египетских правителей. Небка реформировал власть в Египте, поделив землю на провинции или «номы». Каждым номом теперь руководит местный правитель, называемый «номархом». Хотя эта система может показаться несовершенной, но под руководством Небки Египет растёт и процветает, развиваются искусство и архитектура. Фараон желает расширить границы наших владений дальше на юг, в Нубию. Он повелел основать город на первом пороге Нила, на острове Абу, чтобы получить доступ к местным залежам самоцветов, гранита и песчаника.

Эти материалы требуются для создания ещё более изысканных усыпальниц египетской знати в растущем некрополе Абджу. Столице Мен-нефер также могут понадобиться поставки кирпичей для строительства гробниц, так что ожидайте от фараона запросы на эти и другие строительные материалы. Кроме того, фараон Небка приказал вашему родственнику основать форпост в оазисе Селима, чтобы предоставить защиту караванным путям вглубь Африки. Как только он будет установлен, вы можете рассчитывать на приобретение в Селиме чёрного дерево, чрезвычайно важного и дорогого товара."
Missions/#210_mission,Text,,"Восхождение на трон фараона Джосера знаменует начало новой эпохи достижений в области мудрости, знаний и искусства. В Саккаре решено основать царский некрополь, где обретут вечный покой знатные люди из ближайшего окружения, например Хесира и Хабаусокар. Но здесь также будет возведён монумент, какого мир ещё не видал прежде.

Я, придворный визирь Имхотеп, придумал для фараона усыпальницу новой формы. В отличие от невысоких кирпичных мастаб предыдущих фараонов, эта гробница должна возвышаться к небесам, будто собранная из нескольких мастаб, водружённых друг на друга. Кроме того, эту «ступенчатую пирамиду» следует целиком построить из камня, дабы она простояла веками. Глубоко внутри будет установлен саркофаг из цельного гранита, который будет вечно хранить тело фараона.

Жрецы некрополя Абджу в совершенстве овладели мастерством бальзамирования мёртвых с помощью ткани и открыли дверь к вечной жизни всем египтянам. Наш торговый форпост в оазисе Селима по-прежнему процветает, там вы можете закупать чёрное дерево из Африки. Фараон выделил вам для строительства значительную сумму. Не подведите его."
Missions/#212_mission,Text,,"Фараон Хуни, подобно Джосеру, желает провести вечность в ступенчатой пирамиде. Также он пожелал, чтобы его окружали усыпальницы его ближайших сподвижников. Местом для строительства царского некрополя был выбран Медум в Нижнем Египте. Ваша династия верно служила фараонам на протяжении многих поколений, и в знак благодарности Хуни дозволяет вам воздвигнуть в Медуме собственную гробницу. Это большая честь для вашего рода.

Дабы навеки сохранить мудрость и знания Египта, фараон Хуни повелел построить царские библиотеки. Когда полки заполнятся папирусными свитками, высшие слои общества получат доступ к новому уровню образования. Фараон отправил одного из верных поданных в поход к селению Серабит-Хадим, в суровых землях Синая, чтобы наладить добычу бирюзы. Если поход завершится успехом, то вы сможете закупать там самоцветы. Из них ювелиры могут создать украшения — ценный предмет роскоши для ваших горожан. Тем временем некогда процветавший Бехдет переживает не лучшие времена и больше не экспортирует товары, которым ранее славился."
Missions/#213_mission,Text,,"Наш новый фараон Снофру намерен сделать всё, чтобы четвёртая династия запомнилась как самая величайшая в Египте. Фараон желает расширить наши границы дальше на юг. Он приказал вторгнуться в Нубию и основать крепость Бухен у второго порога Нила. Там же нужно воздвигнуть гранитный обелиск, который вечно будет гласить о том, что эти земли отныне принадлежат Египту и фараону. Так далеко на юге гранита не найти, поэтому его придётся ввозить из Абу.

В Бухене вы столкнётесь со свирепыми и опытными нубийскими воинами, готовым биться насмерть, лишь бы не пустить вас на юг. Но не отчаивайтесь, после усердных тренировок в военной школе ваши воины смогут набраться опыта. Кроме того, военные инженеры улучшили конструкции оборонительных сооружений — башен, стен и ворот. Они будут незаменимым средством защиты против нубийской армии. При необходимости можно перевозить воинов по воде на транспортных кораблях.

На севере Египет установил отношения с Энгоми на Кипре. Остров получил своё название благодаря богатым залежам меди, которую мы теперь можем закупать. Однако, благодаря недавно основанному добывающему поселению Серабит-Хадим в землях Синая мы сможем позволить себе медь по гораздо низким ценам. Поставки из Серабит-Хадим нерегулярны из-за непрекращающихся набегов бедуинов и ханаанеев на поселение, и неизвестно, сколько ещё сможет продержаться египетский гарнизон. В Дашуре идёт строительство уникального и величественного монумента — усыпальницы фараона. Время от времени фараон может присылать запросы на поставку известняка для завершения постройки."
Missions/#216_mission,Text,,"На трон взошёл фараон Хуфу, и, как предсказывали оракулы Гора и Ра, наши люди сразу же почувствовали тяжкий гнёт его правления. Хуфу приказал немедленно отправить царского наместника Иунет для защиты наших земель от кушитских захватчиков. В Иунете можно наладить небольшой рыбный промысел, который на первых порах сможет прокормить поселение. Однако, если кушиты нападут со стороны воды, река станет небезопасной для рыбацких лодок, поэтому лучше укрепить защиту берегов боевыми кораблями. Если продовольствия станет не хватать, можно выращивать скот на мясо, хотя для этого может потребуется много соломы, а там её выращивать непросто.

Попробуйте договориться с другими городами на поставки соломы, она вам всё равно понадобится для производства кирпича, который пойдёт на строительство вашей мастабы. Город Библ в Ливане, стране кедра, начал вести торговлю с могущественными восточными империями — Ассирией и Уром, расположенными в долине двух великих рек, что зовётся Месопотамией. Через Библ у них можно закупать слоновую кость. Если в Иунете появится столь экзотичный предмет роскоши, город непременно ждёт процветание. В столице набрала популярность новая игра под названием «сенет». В эту игру обычно играют за кружкой пива в особом заведении, называемом «домом сенета». Подобные увеселительные заведения помогут жителям Иунета отвлечься от тяжких дум, навеянных жестоким правлением Хуфу.

Фараон повелел построить бесчисленное множество карьеров в Оне в дельте Нила для добычи превосходного белого известняка. Лишь богам известно, для чего фараону может понадобиться столько камня. Говорят, что он планирует начать колоссальную стройку на плато Ростау, дабы затмить славу своего отца, мудрого и справедливого Снофру, воздвигшего две прекрасные пирамиды."
Missions/#217_mission,Text,,"На трон взошёл фараон Хуфу, и, как предсказывали оракулы Гора и Ра, наши люди сразу же почувствовали тяжкий гнёт его правления. Говорят, что он планирует начать колоссальную стройку на плато Ростау, дабы затмить славу своего отца, мудрого и справедливого Снофру, воздвигшего две прекрасные пирамиды. Фараон Хуфу приказал построить несколько карьеров в Туре в дельте Нила, где недавно были обнаружены залежи прекрасного белого известняка. Также вы должны построить три мастабы для местной знати. Тем самым фараон отблагодарит их за преданность.

Добывающее поселение, которое вы построите, будет называться Оном и служить богатым источником белого известняка на многие годы вперёд... и лишь богам известно, для чего фараону может понадобиться столько камня. Город Библ в Ливане, стране кедра, начал вести торговлю с могущественными восточными империями — Ассирией и Уром, расположенными в долине двух великих рек, что зовётся Месопотамией. Через Библ у них можно закупать слоновую кость.

Если в Оне появится столь экзотичный предмет роскоши, город непременно ждёт процветание. Хуфу приказал немедленно отправить царского наместника Иунет для защиты наших земель от кушитских захватчиков. Придворные визири сочувствуют судьбе чиновника, которому выпала столь сложная и опасная задача. В столице набрала популярность новая игра под названием «сенет». В эту игру обычно играют за кружкой пива в особом заведении, называемом «домом сенета». Подобные увеселительные заведения помогут жителям Иунета отвлечься от тяжких дум, навеянных жестоким правлением Хуфу."
Missions/#218_mission,Text,,"Фараон Хуфу наконец раскрыл свой замысел, и его непомерные амбиции лягут тяжким бременем на наш народ. Фараон произвёл вас в номархи, и это назначение станет как наградой, так и проклятием для вашего рода, ведь вам поручено возглавить самую грандиозную стройку в нашей истории. Усыпальницей фараона должен стать огромная пирамида, построенная вдали от городов, на плато Ростау. Саркофаг должен будет выполнен из цельного гранита, а погребальная лодка — из ценного ливанского кедра.

Рядом с пирамидой фараона следует построить пирамиду поменьше, для его сына Хафры, превзошедшего своего отца в жестокости, но не в свершениях. Хафра также объявил, что его лик украсит огромную скульптуру существа с телом льва и головой человека — «сфинкса», целиком высеченного из скалы в Ростау. Чтобы завершить столь грандиозную стройку, вам понадобится основать крупное поселение в Ростау. Обустраивать город необязательно, ведь ваша цель — построить три величественных сооружения в честь фараона. Вас обеспечат превосходным белым известняком для облицовки пирамид, но другие материалы для нужд города придётся закупать.

Фараон доверил вам, благороднейшему из номархов, выполнение этих священных заданий. Вы обязаны проявить абсолютную преданность фараону и выполнить его волю... любой ценой."
Missions/#219_mission,Text,,"Правлению Хуфу и Хафры пришёл конец, как и четвёртой династии египетских правителей. Однако царица Усеркаф, дальняя родственница, произвела на свет нового фараона по имени Усеркаф, так что царская линия не оборвалась. Усеркаф положил начало пятой династии, обещающей перемены к лучшему. Усеркаф ослабил центральную власть и даровал больше полномочий местным правителям. Теперь номархи вроде вас вольны заниматься собственными делами.

Фараон не собирается возводить для себя огромную гробницу, он приготовил для вас другое задание. Усеркаф объявил Ра, бога солнца и царства, верховным богом и намерен распространить его влияние повсюду. Египетскую землю уже усеяло немало храмов Солнца, однако фараон желает расширить влияние Ра до самых границ царства. С этой целью вам предстоит построить укреплённое поселение в оазисе Бахария, далеко в западной пустыне.

Экономьте воду, ведь вдали от великого Нила источников очень мало, да и те облюбовали дикие животные. Также опасайтесь нападений со стороны ливийских воинов и бедуинских кочевников, что разоряли пустынные караваны последние годы. Хорошо обдумайте свою оборону и грамотно распоряжайтесь доступными ресурсами, что дарует вам пустыня — деревом и дичью."
Missions/#220_mission,Text,,"Правлению Хуфу и Хафры пришёл конец, как и четвёртой династии египетских правителей. Однако царица Усеркаф, дальняя родственница, произвела на свет нового фараона по имени Усеркаф, так что царская линия не оборвалась. Усеркаф положил начало пятой династии, обещающей перемены к лучшему. Усеркаф ослабил центральную власть и даровал больше полномочий местным правителям. Теперь номархи вроде вас вольны заниматься собственными делами.

Фараон не собирается возводить для себя огромную гробницу, он приготовил для вас другое задание. Усеркаф объявил Ра, бога солнца и царства, верховным богом и намерен распространить его влияние повсюду. Египетскую землю уже усеяло немало храмов Солнца, однако фараон желает воздвигнуть величайший из них в Джеду во влажной дельте Нила Нижнего Египта. Как и другие города дельты, Джеду богата дичью, рыбой и плодородными землями, но полезных ископаемых мало.

Поэтому песчаник, необходимый для строительства храма Солнца придётся закупать в оазисе Дункул. Можно разводить скот для выделки мяса, хотя животным для прокорма нужно много соломы. Для строительства храма понадобится расчистить подходящий участок земли. Постарайтесь продать как можно больше ценной древесины: когда она кончится, больше её не найти. Бехдет и Абджу постоянно нуждаются в древесине и дичи, торгуйте с ними, чтобы покрыть затраты на строительство священного сооружения."
Missions/#221_mission,Text,,"Взойдя на трон, Пиопи наградил вашу семью должностью казначея, но не просто так. Центральная власть продолжает слабеть, поскольку растёт влияние местных правителей. В некоторых областях страны урожаи были гораздо хуже обычного, и над Египтом нависла угроза голода. Мен-нефер, когда-то великолепный и богатый город, приходит в упадок.

Провидцы предсказывают тяжёлые времена. Набравшие силу соседи решили воспользоваться растущей слабостью Египта. Форпост в Бухене осаждён кушитскими воинами, прибывшими из Кермы — крупнейшего африканского города за пределами Египта. Куш требует дань, и малейшая провокация может привести к сокрушительному нападению. Нубия также собирает войска с целью отвоевать потерянные земли.

Существование Египта зависит от внешней торговли, и вы должны во что бы то ни стало сохранить торговые пути. Удержите торговый пост в оазисе Селима, доставшийся нам с большим трудом. Готовясь к загробной жизни, Пиопи будет часто требовать у вас камень для строительства пирамиды, а другие города, испытывая недостаток пищи, будут просить поставки провизии. Используйте доступные ресурсы с умом. Вокруг оазиса растёт много ценных деревьев, но часть леса придётся вырубить, чтобы получить доступ к источнику воды."
Missions/#222_mission,Text,,"Взойдя на трон, Пиопи наградил вашу семью должностью казначея, но не просто так. Центральная власть продолжает слабеть, поскольку растёт влияние местных правителей. В некоторых областях страны урожаи были гораздо хуже обычного, и над Египтом нависла угроза голода. Мен-нефер, когда-то великолепный и богатый город, приходит в упадок.

Провидцы предсказывают тяжёлые времена. Набравшие силу соседи решили воспользоваться растущей слабостью Египта. Форпост в Бухене осаждён кушитскими воинами, прибывшими из Кермы — крупнейшего африканского города за пределами Египта. Куш требует дань, и малейшая провокация может привести к сокрушительному нападению. Нубия также собирает войска с целью отвоевать потерянные земли.

Чтобы обеспечить безопасность Египта, постройте административный центр в оазисе Дахла. Там растёт много деревьев, но, к сожалению, часть их преграждает доступ к драгоценному источнику воды. Это очень важное поселение, тут вы можете закупать чёрное дерево, привозимое из Африки. Готовясь к загробной жизни, Пиопи будет часто требовать у вас кирпичи для строительства своего монумента, а другие города, испытывая недостаток пищи, будут просить поставки провизии."
Missions/#223_mission,Text,,"Прежним временам пришёл конец, и многие боятся, что Египет никогда не вернёт былое величие. Осирис отвернулся от своего народа, и череда скудных разливов привела к всеобщему голоду. Некогда незыблемая власть фараонов исчезла, уступив место ссорящимися между собой правителям провинций. Посреди этого хаоса возвысились два знатных рода, пытающихся подчинить себе верховную власть.

Правители Хенен-несута заявляют, что трон по праву принадлежит им. Эти люди особенно жестоки и мало помогают голодающим. В Уасете к власти пришёл новый род Иниотефов, объединивший под своим началом весь юг. Хенен-несут развязал против Уасета кровавую гражданскую войну за власть над всем Египтом. В знак радушия к египтянам Иниотефы поручили вам заново отстроить недавно отвоёванный город Тинис, старейший город Египта. После завоевания в городе уцелели две прекраснейшие и древнейшие постройки — храмовый комплекс Осириса и особняк. Иниотефы объявили, что в случае разрушения этих зданий деньги на восстановление они не дадут. Для правителей Уасета первостепенная задача — восстановить город. Для этой цели даже в наше непростое время они сумели собрать немалую сумму.

Верните городу прежний блеск, постройте флот и соберите сильную армию, чтобы защититься от постоянных набегов лояльных Хенен-несуту городов Асьют, Нехен и Шмун. Опасайтесь правителей Хенен-несута: они могут потребовать с вас дань, чтобы выяснить, насколько крепка ваши верность и казна. Также остерегайтесь коварных нубийцев, желающих поживиться, пока Египет раздирают распри."
Missions/#224_mission,Text,,"Прежним временам пришёл конец, и многие боятся, что Египет никогда не вернёт былое величие. Осирис отвернулся от своего народа, и череда скудных разливов привела к всеобщему голоду. Некогда незыблемая власть фараонов исчезла, уступив место ссорящимися между собой правителям провинций. Посреди этого хаоса возвысились два знатных рода, пытающихся подчинить себе верховную власть.

Правители Хенен-несута заявляют, что трон по праву принадлежит им. Эти люди особенно жестоки и мало помогают голодающим. В Уасете к власти пришёл новый род Иниотефов, объединивший под своим началом весь юг. Хенен-несут развязал против Уасета кровавую гражданскую войну за власть над всем Египтом. Иниотефы, занятые борьбой со правителями Хенен-несута, доверили вам развить их родной Уасет.

Чтобы Иниотефы смогли одержать верх и укрепить своё влияние в Египте, Уасет должен стать опорой для других городов, снабжая их товарами и предоставляя войска для защиты. В случае победы Иниотефов Уасет может стать столицей, поэтому должен быть процветающим городом. Используя ограниченные ресурсы, постройте храм Солнца и пирамиду, дабы продемонстрировать египтянами величие Иниотефов. Уасет может быть подвержен атакам. Хенен-несут и его союзники могут время от времени угрожать городу и вымогать у вас дебены. Создайте мощную армию и флот, чтобы защитить город и помочь другим городам."
Missions/#225_mission,Text,,"Успехи вашего рода во время гражданской войны будут вознаграждены. Я, фараон Ментухотеп, дарую вашему роду титул визиря. Никому в Египте я не доверяю больше, чем вам. Верхний и Нижний Египет воссоединились, столица Уасет процветает, и теперь вы должны помочь мне укрепить власть по всему Царству. Даже после воссоединения Египет раздирают внутренние склоки, особенно там, где прежде поддерживали правителей Хенен-несута. Чтобы укрепить новый союз, я хочу, чтобы вы восстановили и защитили Кебет.

Кебет должен стать великим городом, который покажет египтянам, что принесёт моё правление. Город постоянно подвергается атакам со стороны городов, оставшихся верными Хенен-несуту, особенно Шмуна, поэтому вам следует укрепить его границы. Страну всё ещё одолевает голод, так что другие города будут часто обращаться к вам за помощью. Отвечайте страждущим как можно быстрее, чтобы весь Египет знал о моём великодушии и преданности моего верного визиря.

Я знаю, что прошу от вас слишком многого, однако никому другому не под силу справиться с этой сложной задачей."
Missions/#226_mission,Text,,"Успехи вашего рода во время гражданской войны будут вознаграждены. Я, фараон Ментухотеп, дарую вашему роду титул визиря. Никому в Египте я не доверяю больше, чем вам. Верхний и Нижний Египет воссоединились, столица Уасет процветает, и теперь вы должны помочь мне укрепить власть по всему Царству. Даже после воссоединения Египет раздирают внутренние склоки, особенно там, где прежде поддерживали правителей Хенен-несута. Чтобы укрепить объединённую страну, я хочу, чтобы вы восстановили и защитили Менат-Хуфу, который был практически уничтожен во время гражданской войны.

Он должен стать великим городом, который покажет египтянам, что принесёт моё правление. Страну всё ещё одолевает голод, так что другие города будут часто обращаться к вам за помощью. Отвечайте страждущим как можно быстрее, чтобы весь Египет знал о моём великодушии и преданности моего верного визиря. У меня есть ещё одна просьба: я хочу, чтобы вы возвели гранитные обелиски, которые прославят все мои прижизненные деяния ради нашей страны.

Я знаю, что прошу от вас слишком многого, однако никому другому не под силу справиться с этой сложной задачей."
