Key,Type,Desc,Ru
Videos/pre_dynastic_big/Sub/0001,Text,,"Говорят, путь в тысячу миль начинается с одного шага."
Videos/pre_dynastic_big/Sub/0002,Text,,Так пусть история великого народа начнётся с одной мечты.
Videos/pre_dynastic_big/Sub/0003,Text,,Красная земля породила такую мечту.
Videos/pre_dynastic_big/Sub/0004,Text,,Кланы кочевников несут её в своих сердцах через бескрайнюю пустыню
Videos/pre_dynastic_big/Sub/0005,Text,,в землю Египта.
Videos/Archaic_big/Sub/0001,Text,,В разрозненных поселениях вдоль священной реки Нил
Videos/Archaic_big/Sub/0002,Text,,появляются могущественные вожди.
Videos/Archaic_big/Sub/0003,Text,,"Силой воли и духа они ведут свой народ,"
Videos/Archaic_big/Sub/0004,Text,,чтобы укротить дикую землю
Videos/Archaic_big/Sub/0005,Text,,и обрести щедрые дары Египта.
Videos/Archaic_big/Sub/0006,Text,,Деревни превращаются в процветающие города.
Videos/Archaic_big/Sub/0007,Text,,"Земля и кирпичи,"
Videos/Archaic_big/Sub/0008,Text,,"обожжённые солнцем пустыни,"
Videos/Archaic_big/Sub/0009,Text,,становятся священными гробницами — вечным пристанищем душ усопших вельмож.
Videos/old_kingdom_big/Sub/0001,Text,,Чистые воды драгоценного Нила
Videos/old_kingdom_big/Sub/0002,Text,,кишат жизнью.
Videos/old_kingdom_big/Sub/0003,Text,,Египту больше не приходится бороться за единство.
Videos/old_kingdom_big/Sub/0004,Text,,Бесчисленные верные и покорные подданные
Videos/old_kingdom_big/Sub/0005,Text,,возносят фараона к бессмертию.
Videos/middle_kingdom_big/Sub/0001,Text,,"Фараоны наших предков покорили эту великую равнину,"
Videos/middle_kingdom_big/Sub/0002,Text,,"возвели великие пирамиды,"
Videos/middle_kingdom_big/Sub/0003,Text,,"Сфинкса и священные гробницы бесчисленных вельмож,"
Videos/middle_kingdom_big/Sub/0004,Text,,что простираются по пустыне до самого горизонта.
Videos/middle_kingdom_big/Sub/0005,Text,,"Здесь живёт свидетельство древних времён,"
Videos/middle_kingdom_big/Sub/0006,Text,,"славы былого Египта,"
Videos/middle_kingdom_big/Sub/0007,Text,,славы былого фараона.
Videos/middle_kingdom_big/Sub/0008,Text,,"Но хотя наши монументы стоят,"
Videos/middle_kingdom_big/Sub/0009,Text,,"силы, создавшей их, уже нет."
Videos/middle_kingdom_big/Sub/0010,Text,,"Осирис покинул нас,"
Videos/middle_kingdom_big/Sub/0011,Text,,"власть фараона испарилась,"
Videos/middle_kingdom_big/Sub/0012,Text,,словно капли воды в пустыне.
Videos/middle_kingdom_big/Sub/0013,Text,,"Наши враги осмеливаются оспаривать его власть,"
Videos/middle_kingdom_big/Sub/0014,Text,,"поднимают против нас мечи и копья,"
Videos/middle_kingdom_big/Sub/0015,Text,,и Египет рассыпается в прах…
Videos/new_king_big/Sub/0001,Text,,Великолепие наших городов озаряет весь мир.
Videos/new_king_big/Sub/0002,Text,,"И, словно мотыльки на пламя,"
Videos/new_king_big/Sub/0003,Text,,"узурпаторы приходят оспорить нашу власть,"
Videos/new_king_big/Sub/0004,Text,,разрывая Египет на части.
Videos/new_king_big/Sub/0005,Text,,"Появилось новое оружие войны,"
Videos/new_king_big/Sub/0006,Text,,"и оно пронеслось над Египтом, словно буря в пустыне."
Videos/win_grand_big/Sub/0001,Text,,"Через пять эпох,"
Videos/win_grand_big/Sub/0002,Text,,через бесчисленные испытания и неисчислимые жизни
Videos/win_grand_big/Sub/0003,Text,,Египет выстоял.
Videos/win_grand_big/Sub/0004,Text,,Теперь никто не оспаривает нашу власть.
Videos/win_grand_big/Sub/0005,Text,,История твоей семьи — это история Египта.
Videos/win_grand_big/Sub/0006,Text,,Тысячи людей поклоняются тебе как богу.
Videos/win_grand_big/Sub/0007,Text,,И созданная тобой династия
Videos/win_grand_big/Sub/0008,Text,,никогда не будет забыта!
Videos/win_grand_big/Sub/0009,Text,,никогда не умрёт.
