Key,Type,Desc,Ru,English,French,Spanish,German,Italian
Menu/Language/#Ru,Text,,Русский,Русский,Русский,Русский,Русский,Русский
Overseers/#Chief_Religion_Furious_2_2,Text,,<color=yellow><b>СЕРЬЁЗНО:</b></color> Два бога недовольны.
Overseers/#Chief_Religion_Furious_3_2,Text,,<color=yellow><b>СЕРЬЁЗНО:</b></color> Три бога недовольны.
Overseers/#Chief_Religion_Furious_4_5_2,Text,,<color=yellow><b>СЕРЬЁЗНО:</b></color> Несколько богов могут покарать нас.
Overseers/#Chief_Employment_Unemployment_30,Text,,<color=#ea4242><b>СРОЧНО:</b></color> Уровень безработицы в городе {0}%.
Overseers/#Chief_Crime_80,Text,,"<color=#ea4242><b>СРОЧНО:</b></color> За последнее время произошло множество краж."
Overseers/#Chief_Employment_Shortage_300,Text,,<color=#ea4242><b>СРОЧНО:</b></color> Нехватка рабочих: {0}.
Overseers/#Chief_FoodProduction_Eat_time_2,Text,,"<color=#ea4242><b>СРОЧНО:</b></color> Мы потребляем гораздо больше, чем производим."
Overseers/#Chief_FoodStock_Supply1,Text,,<color=#ea4242><b>СРОЧНО:</b></color> Запасы пищи подходят к концу.
Overseers/#Chief_Health_0,Text,,<color=#ea4242><b>СРОЧНО:</b></color> Здоровье горожан ужасно — эпидемия неизбежна.
Overseers/#Chief_Health_10,Text,,<color=#ea4242><b>СРОЧНО:</b></color> Здоровье горожан крайне плохое — эпидемия весьма вероятна.
Overseers/#Ratings_Kingdom_100,Text,,У вашего города самый лучший рейтинг Царства!
Overseers/#Ratings_Prosperity_YetToEvaluate,Text,,"Рейтинг благополучия не меняется."
Overseers/#Ratings_Prosperity_RatingRising,Text,,"Рейтинг благополучия растёт."
Overseers/#Ratings_Prosperity_Advice,Text,,Неспособность избежать долгов выставляет ваш город неудачником.
Overseers/#TroopRequest_Small,Text,,"{0}, малый отряд"
Overseers/#TroopRequest_Average,Text,,"{0}, средний отряд"
Overseers/#TroopRequest_Large,Text,,"{0}, большой отряд"
Overseers/#Request_TimeRemaining_Singular,Text,,Срок выполнения: {0} месяц
Overseers/#Request_TimeRemaining_Plural,Text,,Срок выполнения: {0} мес.
Overseers/#Request_General,Text,,Запрос
Overseers/#Request_GodFestival,Text,,Великий праздник
Overseers/#Request_Famine,Text,,Помощь голодающим
Overseers/#Request_ConstructionProject,Text,,Строительство
Overseers/#Request_Threat,Text,,Поборы
Overseers/#Commerce_OpenTradeRouteBoth,Text,,"Открыть путь для импорта/экспорта"
Overseers/#Commerce_OpenTradeRouteExport,Text,,"Открыть путь для экспорта"
Overseers/#Commerce_OpenTradeRouteImport,Text,,"Открыть путь для импорта"
Overseers/#Commerce_AvailableForExport,Text,,Доступно для экспорта
Overseers/#Commerce_PriceExport,Text,,Продажа
Overseers/#Commerce_PriceImport,Text,,Покупка
Overseers/#Commerce_PerUnit,Text,,"<b>{0}</b><sprite name=""Deben""><color=#EDD7A8>/ 1</color><sprite name=""{1}"">"
Overseers/#Commerce_Per100Units,Text,,"<b>{0}</b><sprite name=""Deben""><color=#EDD7A8>/ 100</color><sprite name=""{1}"">"
Overseers/#Workers_WorkersRequired,Text,,"Требуется ещё рабочих: {0}"
Overseers/#PublicHealth_NoProblem,Text,,В вашем городе пока не сообщалось о проблемах со здоровьем.
Overseers/#PublicHealth_MoreApothecariesNeeded,Text,,Всё больше людей хотят иметь удобный доступ к услугам аптекаря.
Overseers/#PublicHealth_FoodVariety,Text,,Разновидностей пищи в городе: {[number]}[i2p_Zero]В городе нет ни одного вида пищи.[I2p_One]В городе представлен 1 вид пищи:
Overseers/#Political_NotEnoughSavings,Text,,"<color=white><b>Недостаточно сбережений</b></color>"
Overseers/#Temples_LastFestival,Text,,"<color=white><b>{[number]}</b></color> мес. с последнего праздника[I2p_One]<color=white><b>1</b></color> месяц с последнего праздника"
Overseers/#Temples_Temples,Text,,"Храмы"
Overseers/#Temples_TempleComplex,Text,,"Храмовые комплексы"
Overseers/#Learning_SchoolCoverage,Text,,"детей"
Overseers/#Learning_LibraryCoverage,Text,,"людей"
Overseers/#Monuments_Obelisk_NotStarted,Text,,"Работа над этим обелиском ещё не началась.
Для начала строительства нужны блоки гранита: <sprite name=""Granite""><color=#ffffff><b>{0}</b></color>.
Запас блоков: <color=#ffffff><b>{1}</b></color>."
Overseers/#Monuments_SunTemple_NotStarted,Text,,"Работа над этим храмом Солнца ещё не началась.
Для начала строительства нужны блоки песчаника: <sprite name=""Sandstone""><color=#ffffff><b>{0}</b></color>.
Запас блоков: <color=#ffffff><b>{1}</b></color>."
Overseers/#Monuments_Mausoleum_NotStarted,Text,,"Работа над этим мавзолеем ещё не началась.
Для начала строительства нужны блоки песчаника: <sprite name=""Sandstone""><color=#ffffff><b>{0}</b></color>.
Запас блоков: <color=#ffffff><b>{1}</b></color>."
Walkers/#Carrier_Content,Text,,"<color=#ffffff><b>{0}</b></color> {1}"
Walkers/#Carrier_Content_Stone,Text,,"Блок: <color=#ffffff><b>1</b></color>. Материал: {1}"
Walkers/#Carrier_Content_Stone_Plural,Text,,"Блоки: <color=#ffffff><b>{0}</b></color>. Материал: {1}"
Walkers/#Carrier_GoingFromTo,Text,,В пути. Отправитель: {0}. Получатель: {1}
Walkers/#Carrier_ReturningTo,Text,,Возвращается. Пункт назначения: {0}
Walkers/#Carrier_WaitingFor,Text,,"Ожидает места для доставки. Отправитель груза: {0}"
Walkers/#Carrier_GettingGoods,Text,,Получает товар
Walkers/#Roaming,Text,,Бродит без цели. Исходное здание: {0}
Walkers/#FishingBoat_Fishing,Text,,Плывёт на рыбный промысел. Порт отправления: {0}
Walkers/#FishingBoat_Unloading,Text,,Выгружает рыбу. Пункт назначения: {0}
Walkers/#FishingBoat_WaitingForCarrier,Text,,Ожидает. Местоположение: {0}
Walkers/#FishingBoat_Blocked,Text,,"Стоит у причала. Местоположение: {0}. Место лова недоступно"
Walkers/#Ship_Docked,Text,,"Стоит у причала. Местоположение: {0}"
Walkers/#TransportShip_Transporting,Text,,"Перевозит войска"
Walkers/#Gatherer_Gathering,Text,,Собирает ресурс: {1}. Исходное здание: {0}
Walkers/#Hunter_Hunting,Text,,Цель охоты: {1}. Исходное здание: {0}
Walkers/#Barge_Trading,Text,,Торгует у городских причалов
Walkers/#barge_e05,Text,,"Какая прибыльная торговля!"
Walkers/#stonemason,Text,,Каменотёс
Walkers/#tombrobber,Text,,Расхититель гробниц
Walkers/#bazaarbuyer_buying,Text,,Покупает
Walkers/#bazaarbuyer_bought,Text,,Куплено
Walkers/#Walker_Buys,Text,,Куплено
Walkers/#Walker_Sells,Text,,Продано
Overseers/#Granaries_ForXMonths,Text,,{[number]} мес.[I2p_One]1 месяц.
Overseers/#Granaries_GranariesHold,Text,,Житниц/складов с пищей: {[number]}[I2p_One]Житниц/складов с пищей: 1
Overseers/#Granaries_FoodProduction_EX1,Text,,"Сейчас мы съедаем чуть больше, чем производим."
Overseers/#Granaries_FoodProduction_PX1,Text,,"Сейчас мы производим ровно столько, чтобы накормить всех."
Overseers/#Granaries_FoodProduction_PX1-5,Text,,"Сейчас мы производим чуть больше, чем съедаем."
Overseers/#Granaries_FoodProduction_PX1_growth,Text,,"Мы производим достаточное количество пищи, но нашему растущему городу потребуется ещё больше."
Overseers/#Granaries_FoodProduction_PX2,Text,,"Сейчас мы производим куда больше, чем съедаем."
Overseers/#Granaries_SpaceLeft,Text,,Свободных мест в имеющемся жилье: {0}.
Overseers/#Granaries_Migration_NoFood,Text,,Нехватка пищи в житницах и на складах уменьшает приток переселенцев.
Overseers/#Granaries_Migration_Unemployment,Text,,Высокая безработица уменьшает число прибывающих в город переселенцев.
Overseers/#Granaries_NoFood,Text,,Нет запасов пищи на будущий месяц.
Overseers/#Ratings_Monument_Not_Needed,Text,,"Этому городу не нужны монументы."
Overseers/#Ratings_Monument_Equal_Needed,Text,,В этом городе самые величественные монументы во всём Египте!
Overseers/#Commerce_Stockpiling,Text,,"Включить накопление"
Buildings/#Shipwright_workers_0,Text,,"В этой судоверфи нет рабочих, поэтому корабли не строятся."
Buildings/#Shipwright_wharf_unreachable,Text,,"Пристань заказала нам корабль, но добраться до неё невозможно."
Buildings/#Tower_workers_1,Text,,"Наши люди бдительны и готовы отразить любую угрозу."
Buildings/#Granary_Empty,Text,,"Эта житница пуста."
Buildings/#ChariotMaker_stock_wood_0,Text,,"Без поставок древесины со склада или от лесоруба эта мастерская не сможет производить колесницы."
Buildings/#ChariotMaker_stock_copper_0,Text,,"Без поставок меди со склада или из медного рудника эта мастерская не сможет производить колесницы."
Buildings/#CarpentersGuild_stock_0,Text,,"Этой артели нужна древесина со склада или от лесоруба."
Buildings/#Tower_UpgradeFull,Text,,"Эта башня полностью улучшена и обеспечивает городу наилучшую защиту, пока в ней есть рабочие и часовые."
Buildings/#Tower_UpgradeHalf,Text,,"Вы уже улучшили эту башню. Можно улучшить её ещё раз, чтобы обеспечить город лучшей защитой."
Buildings/#Tower_UpgradeNone,Text,,"Башню не улучшали. Она защищает город, но могла бы делать это ещё эффективней."
Buildings/#Tower_UpgradeBow,Text,,"Караульного в этой башне можно улучшить с помощью 1 композитного лука<sprite name=""CompositeBows"">."
Buildings/#Tower_UpgradeStone,Text,,"Эту башню можно улучшить с помощью <sprite name=""Plainstone"">блока обычного камня."
Buildings/#Tower_tooltip,Text,,"Размещается на широкой стене."
Buildings/#FarmChickpeas,Text,,"Ферма нута"
Buildings/#FarmPomegranates,Text,,"Гранатовая ферма"
Buildings/#WarningWorkersAlert,Text,,"<b><color=yellow>ВНИМАНИЕ:</color></b> Плохой доступ к рабочей силе"
Buildings/#SleepingBuilding,Text,,Эта постройка дремлет.
Overseers/#Commerce_BuildingsWorkingTotal,Text,,"работает/всего"
Monuments/#Mausoleum_Phase_1,Text,,"<color=#ffffff><b>Первый этап</b></color>"
Monuments/#Mausoleum_Phase_1_Desc,Text,,"Рабочие возводят внешнюю часть мавзолея."
Monuments/#Mausoleum_Phase_2,Text,,"<color=#ffffff><b>Второй этап</b></color>"
Monuments/#Mausoleum_Phase_2_Desc,Text,,"Рабочие возводят нижнюю часть мавзолея."
Monuments/#Mausoleum_Phase_3,Text,,"<color=#ffffff><b>Третий этап</b></color>"
Monuments/#Mausoleum_Phase_3_Desc,Text,,"Рабочие возводят верхнюю часть мавзолея."
Monuments/#Mausoleum_Phase_4,Text,,"<color=#ffffff><b>Четвёртый этап</b></color>"
Monuments/#Mausoleum_Working,Text,,"Рабочие усердно трудятся, чтобы завершить мавзолей. Всё идёт по плану, и я не ожидаю никаких проблем."
Monuments/#CoursesCompleted,Text,,"<color=#ffffff><b>{0}</b></color> — столько рядов полностью уложено."
Monuments/#Caesareum_Granite,Text,,"Для завершения Цезареума нужны блоки гранита: <sprite name=""""Granite""""><color=#ffffff><b>{0}</b></color>"
Monuments/#Caesareum_Marble,Text,,"Для завершения Цезареума нужны блоки мрамора: <sprite name=""""WhiteMarble""""><color=#ffffff><b>{0}</b></color>"
Monuments/#Caesareum_RemainingMaterials,Text,,"Для завершения Цезареума нужны блоки мрамора: <sprite name=""""WhiteMarble""""><color=#ffffff><b>{0}</b></color>; блоки гранита: <sprite name=""""Granite""""><color=#ffffff><b>{1}</b></color>"
Monuments/#Library_Copper,Text,,"Для завершения библиотеки нужны слитки меди: <sprite name=""""Copper""""><color=#ffffff><b>{0}</b></color>"
Monuments/#Library_Marble,Text,,"Для завершения библиотеки нужны блоки мрамора: <sprite name=""""WhiteMarble""""><color=#ffffff><b>{0}</b></color>"
Monuments/#Library_RemainingMaterials,Text,,"Для завершения библиотеки нужны блоки мрамора: <sprite name=""""WhiteMarble""""><color=#ffffff><b>{0}</b></color>; слитки меди: <sprite name=""""Copper""""><color=#ffffff><b>{1}</b></color>"
Monuments/#Library_Step_4,Text,,"Следующий этап — строительство крыши."
Monuments/#Library_Step_5,Text,,"Мы возводим колонны вокруг библиотеки."
Monuments/#Pharos_Marble,Text,,"Для завершения маяка нужны блоки мрамора: <sprite name=""""WhiteMarble""""><color=#ffffff><b>{0}</b></color>"
Monuments/#Mausoleum_BlocksNeeded,Text,,"Для <color=#ffffff><b>текущего этапа</b></color> мавзолея нужны блоки песчаника: <sprite name=""Sandstone""><color=#ffffff><b>{0}</b></color>"
Monuments/#Mausoleum_RemainingMaterials,Text,,"Для <color=#ffffff><b>завершения</b></color> мавзолея нужны блоки песчаника: <sprite name=""Sandstone""><color=#ffffff><b>{0}</b></color>"
Monuments/#Mausoleum_Waiting,Text,,"Каменотёсы ждут партию песчаника<sprite name=""Sandstone"">."
Monuments/#Mausoleum_Waiting1,Text,,"Каменотёс ждёт партию песчаника<sprite name=""Sandstone"">."
Monuments/#SunTemple_BlocksNeeded,Text,,"Для <color=#ffffff><b>текущего этапа</b></color> храма Солнца нужны блоки песчаника: <sprite name=""Sandstone""><color=#ffffff><b>{0}</b></color>"
Monuments/#SunTemple_Remainder,Text,,"Для <color=#ffffff><b>завершения</b></color> храма Солнца нужны блоки песчаника: <sprite name=""Sandstone""><color=#ffffff><b>{0}</b></color>"
Monuments/#SunTemple_Waiting,Text,,"Каменщики ожидают <sprite name=""""Sandstone"""">песчаник"
Monuments/#SunTemple_Waiting1,Text,,"Один каменщик ожидает <sprite name=""""Sandstone"""">песчаник"
Monuments/#SunTemple_Phase_1,Text,,"<color=#ffffff><b>Первый этап</b></color>"
Monuments/#SunTemple_Phase_1_Desc,Text,,"Поставлена необработанная основа обелиска, и рабочие расчищают площадку."
Monuments/#SunTemple_Phase_2,Text,,"<color=#ffffff><b>Второй этап</b></color>"
Monuments/#SunTemple_Phase_2_Desc,Text,,"Плотники возводят леса вокруг обелиска храма Солнца."
Monuments/#SunTemple_Phase_3,Text,,"<color=#ffffff><b>Третий этап</b></color>"
Monuments/#SunTemple_Phase_3_Desc,Text,,"Каменотёсы высекают окончательную форму обелиска храма Солнца."
Monuments/#SunTemple_Phase_4,Text,,"<color=#ffffff><b>Четвёртый этап</b></color>"
Monuments/#SunTemple_Phase_4_Desc,Text,,"Строятся внешний двор, стена, площадь и передний храм."
Monuments/#SunTemple_WorkingPyramid,Text,,"Рабочие расчищают площадку для храма Солнца."
Monuments/#AlexandriasLibrary,Text,,"Александрийская библиотека"
Monuments/#Obelisk_Phase_2,Text,,"<color=#ffffff><b>Первый этап</b></color>
Плотники сооружают из древесины леса
"
Monuments/#Obelisk_Phase_3,Text,,"<color=#ffffff><b>Второй этап</b></color>
Каменщики высекают окончательную форму, продвигаясь сверху вниз
"
Monuments/#BurialTomb_Lamps,Text,,"Лампы: <sprite name=""""Lamp""""><color=#ffffff><b>{0}</b></color>"
Monuments/#Pyramid_Finishing,Text,,"Рабочие заканчивают работы над облицовкой пирамиды."
Monuments/#Pyramid_Complex_Prepare_0,Text,,"Рабочие расчищают площадку для пирамидального комплекса."
Monuments/#Pyramid_Complex_Prepare_1,Text,,"Каменщики строят дорогу к пирамидальному комплексу."
Monuments/#PyramidAndBentPyramid_Course,Text,,"
Для <color=#ffffff><b>текущего ряда</b></color> нужны материалы:
<sprite name=""Plainstone""><color=#ffffff><b>{0}</b></color> — блоки обычного камня; <sprite name=""Limestone""><color=#ffffff><b>{1}</b></color> — блоки известняка"
Monuments/#Pyramid_CourseLeft,Text,,"Для <color=#ffffff><b>завершения</b></color> пирамиды нужны материалы:
<sprite name=""Plainstone""><color=#ffffff><b>{0}</b></color> — блоки обычного камня; <sprite name=""Limestone""><color=#ffffff><b>{1}</b></color> — блоки известняка"
Monuments/#Pyramid_Done,Text,,"Пирамида завершена. Всего использовано:
<sprite name=""Plainstone""><color=#ffffff><b>{0}</b></color> — блоки обычного камня; <sprite name=""Limestone""><color=#ffffff><b>{1}</b></color> — блоки известняка"
Monuments/#BentPyramid_CourseLeft,Text,,"Для <color=#ffffff><b>завершения</b></color> Ломаной пирамиды нужны материалы:
<sprite name=""Plainstone""><color=#ffffff><b>{0}</b></color> — блоки обычного камня; <sprite name=""Limestone""><color=#ffffff><b>{1}</b></color> — блоки известняка"
Monuments/#BentPyramid_Done,Text,,"Ломаная пирамида завершена. Всего использовано:
<sprite name=""Plainstone""><color=#ffffff><b>{0}</b></color> — блоки обычного камня; <sprite name=""Limestone""><color=#ffffff><b>{1}</b></color> — блоки известняка"
Monuments/#Mastaba_Course,Text,,"
Для <color=#ffffff><b>текущего ряда</b></color> нужны кирпичи: <sprite name=""Bricks""><color=#ffffff><b>{0}</b></color>"
Monuments/#Mastaba_CourseLeft,Text,,"Для <color=#ffffff><b>завершения</b></color> мастабы нужны кирпичи: <sprite name=""Bricks""><color=#ffffff><b>{0}</b></color>"
Monuments/#Mastaba_Done,Text,,"Мастаба завершена. Использовано кирпичей: <sprite name=""Bricks""><color=#ffffff><b>{0}</b></color>"
Monuments/#SteppedPyramid_Course,Text,,"
Для <color=#ffffff><b>текущего ряда</b></color> нужны блоки обычного камня: <sprite name=""Plainstone""><color=#ffffff><b>{0}</b></color>"
Monuments/#SteppedPyramid_CourseLeft,Text,,"Для <color=#ffffff><b>завершения</b></color> ступенчатой пирамиды нужны блоки обычного камня: <sprite name=""Plainstone""><color=#ffffff><b>{0}</b></color>"
Monuments/#SteppedPyramid_Done,Text,,"Ступенчатая пирамида завершена. Использовано блоков обычного камня:
<sprite name=""Plainstone""><color=#ffffff><b>{0}</b></color>"
Monuments/#BrickCorePyramid_Course,Text,,"
Для <color=#ffffff><b>текущего ряда</b></color> нужны материалы:
<sprite name=""Bricks""><color=#ffffff><b>{0}</b></color> — кирпичи; <sprite name=""Limestone""><color=#ffffff><b>{1}</b></color> — блоки известняка"
Monuments/#BrickCorePyramid_CourseLeft,Text,,"Для <color=#ffffff><b>завершения</b></color> кирпичной пирамиды нужны материалы:
<sprite name=""Bricks""><color=#ffffff><b>{0}</b></color> — кирпичи; <sprite name=""Limestone""><color=#ffffff><b>{1}</b></color> — блоки известняка"
Monuments/#BrickCorePyramid_Done,Text,,"Кирпичная пирамида завершена. Всего использовано:
<sprite name=""Bricks""><color=#ffffff><b>{0}</b></color> — кирпичи; <sprite name=""Limestone""><color=#ffffff><b>{1}</b></color> — блоки известняка"
Overlays/MalariaHit,Text,,В этом здании вспышка малярии.
Overlays/DiseaseHit,Text,,Это здание — рассадник болезней.
Overlays/DiseaseRisk_0,Text,,В этом здании скоро вспыхнет болезнь.
Overlays/TaxAccess_None,Text,,"Этот дом не числится в конторе сборщика налогов и поэтому не платит никаких налогов."
Overlays/TaxAccess_Yes,Text,,"С начала года собрано дебенов: {0} <sprite name=""Deben"">."
Houses/#house_taxes_off,Text,,"Сборщик налогов не посещал этого места. Налоги не платятся."
Houses/#house_taxes_on,Text,,"С начала года собрано налогов в дебенах: {0} <sprite name=""Deben"">."
Houses/#evolve_needluxurygood,Text,,"Этот дом не может улучшиться. Чтобы сюда переселились более состоятельные жители, местный базар должен снабжать дом предметами роскоши"
Houses/#evolve_need2ndluxurygood,Text,,"Чтобы дом улучшился, базар должен снабжать его вторым видом предметов роскоши"
Houses/#evolve_delim_like,Text,,"например"
Houses/#evolve_delim_or,Text,,"или"
Menu/Options/#WalkerRange,Text,,Единая дальность служащих
Menu/#FinalCityFunds,Text,,"Итоговые средства города"
Menu/#Battle_Victory_DebensLost,Text,,"Вы победили захватчиков! Город {[city_name]} пока в безопасности...
Однако враги разграбили казну. Похищенная сумма: {[debens]} <sprite name=""Deben"">.
Как можно скорее восстановите армию!"
Menu/#Battle_Defeat_Normal,Text,,"Захватчики разграбили вашу казну. Похищенная сумма: {[debens]} <sprite name=""Deben"">. Кроме того, враги разрушили часть зданий."
Names/#Gold,Text,,"Дебены"
Names/#GoldIngot,Text,,"Золото"
Names/#Pomegranate,Text,,Гранаты
GroupNames/#GoldIngot,Text,,"золотых слитков"
GroupNames/#GoldIngot_Singular,Text,,"золотой слиток"
GroupNames/#Barley,Text,,"мер ячменя"
GroupNames/#Barley_Singular,Text,,"мера ячменя"
GroupNames/#Beer,Text,,"кувшинов пива"
GroupNames/#Beer_Singular,Text,,"кувшин пива"
GroupNames/#Bricks,Text,,"Кирпичи"
GroupNames/#Bricks_Singular,Text,,"кирпич"
GroupNames/#Chickpeas,Text,,"кувшинов нута"
GroupNames/#Chickpeas_Singular,Text,,"кувшин нута"
GroupNames/#Clay,Text,,"мешков глины"
GroupNames/#Clay_Singular,Text,,"мешок глины"
GroupNames/#Copper,Text,,"слитков меди"
GroupNames/#Copper_Singular,Text,,"слиток меди"
GroupNames/#Figs,Text,,"кувшинов инжира"
GroupNames/#Figs_Singular,Text,,"кувшин инжира"
GroupNames/#Fish,Text,,"корзин рыбы"
GroupNames/#Fish_Singular,Text,,"корзина рыбы"
GroupNames/#Flax,Text,,"тюков льна"
GroupNames/#Flax_Singular,Text,,"тюк льна"
GroupNames/#GameMeat,Text,,"кусков дичи"
GroupNames/#GameMeat_Singular,Text,,"кусок дичи"
GroupNames/#Gems,Text,,"Самоцветы"
GroupNames/#Gems_Singular,Text,,"драгоценный камень"
GroupNames/#Gold,Text,,"дебенов"
GroupNames/#Gold_Singular,Text,,"дебен"
GroupNames/#Deben,Text,,"Дебены"
GroupNames/#Deben_Singular,Text,,"дебен"
GroupNames/#Grain,Text,,"корзин зерна"
GroupNames/#Grain_Singular,Text,,"корзина зерна"
GroupNames/#Henna,Text,,"тюков хны"
GroupNames/#Henna_Singular,Text,,"тюк хны"
GroupNames/#Lamp,Text,,"ламп"
GroupNames/#Lamp_Singular,Text,,"Лампа"
GroupNames/#Lettuce,Text,,"кочанов латука"
GroupNames/#Lettuce_Singular,Text,,"кочан латука"
GroupNames/#Linen,Text,,"рулонов ткани"
GroupNames/#Linen_Singular,Text,,"рулон ткани"
GroupNames/#Meat,Text,,"кусков мяса"
GroupNames/#Meat_Singular,Text,,"кусок мяса"
GroupNames/#Oil,Text,,"кувшинов масла"
GroupNames/#Oil_Singular,Text,,"кувшин масла"
GroupNames/#Paint,Text,,"кувшинов краски"
GroupNames/#Paint_Singular,Text,,"кувшин краски"
