Key,Type,Desc,Ru
Guide/#Mausoleum_Title,Text,,Мавзолей
Guide/#Money_Content,Text,,"Невозможно построить город без денег, а богатая городская казна является верным признаком успешности города. Город получает деньги за счёт взимания налогов, экспорта товаров, подарков и (если это доступно городу) добычи золота. Эти сравнительно очевидные темы будут объяснены к концу данной статьи. А сперва следует узнать о тонкостях управления капиталом.

Долг: когда ваша казна впервые опустошится, правители Египта могут предоставить вам помощь в виде дополнительных дебенов. Это никоим образом не наказывает вас, и они не ожидают возврата средств. Однако, следует воспринимать этот дар как предупреждение о том, что вашему городу следует перестать бесконтрольно тратить средства. Если вы истратили весь спасательный капитал или не получили подобного подарка, ваша казна может накопить ещё 5000 дебенов долга. Короткие и случайные выходы в отрицательный баланс порой неизбежны и не смогут навредить, если вы сможете быстро восстановить положительный баланс. Но долгосрочная задолженность может стоить вам игры.

Последствия долга: каждый месяц дефицита в казне будет стоить вам выплат процентов долгу, которые будут начисляться к общей сумме. Чем выше долг, тем больше процентов придётся платить, и от этого долг будет расти быстрее. Если вы не сможете добиться положительного баланса казны (пусть даже ненадолго) в течение 12 месяцев после появления долга, ваш рейтинг Царства начнёт падать, так как другие египетские правители начнут терять веру в вашу способность управлять городом. Первая «годовщина долга», пусть и унизительная, скорее всего, не нанесёт вам большого вреда. Но если второй год подряд не удастся добиться положительных цифр в балансе, рейтинг Царства упадёт ещё сильнее, и последующие годы будут ещё хуже.

Избавление от долга: долг, безусловно, является серьёзной проблемой, и если вам не удаётся его избежать, погасите его как можно скорее. Способы привлечь дополнительные средства перечислены ниже, но также следует воздерживаться от расходования оставшихся средств на что-либо, что в конечном итоге не будет приносить денег. Конторы сборщиков налогов, производства экспортируемых товаров и новые торговые пути к городам, что будут их покупать, могут быть разумными расходами.

Налоги: налоги взимаются с горожан за все услуги, что город им предоставляет. Жители не будут проявлять недовольства, если ставка налога будет в разумных пределах. Первоначально ставка составляет 9 процентов, и является хорошим ориентиром, но вы можете повысить и понизить её в любой момент, посетив своего советника по казне или щёлкнув по своему дворцу. Понижение ставки налога принесёт вам радость и признательность горожан. Повышение ставки может вызвать недовольство и привести к массовому исходу жителей из города, но иногда без этого не обойтись. Если ваш город вот-вот попадёт в долги, то вы можете повысить налоги, чтобы временно решить эту проблему. Однако нужно будет найти долгосрочное решение денежной проблемы. Высокая ставка быстро ухудшит <link=""#PopulationGrowth_Title""><u>настроения в городе</u></link>.
Жители не против платить налоги, но против того, чтобы проблемы города решались за их счёт. Для сбора налогов необходимо иметь <link=""#Palace_Title""><u>дворец</u></link>. После этого постройте <link=""#TaxCollector_Title""><u>конторы сборщиков налогов</u></link>, которые и будут собирать налоги. Советнику по казне известна доля жителей, обязанных платить налоги, и количество недополученных налогов из-за недостатка сборщиков. Справедливо распределяйте налогообложение в городе: если часть районов совершенно не платит налогов, <link=""#PopulationGrowth_Title""><u>настроения в городе</u></link> упадут и возникнет <link=""#Crime_Title""><u></u>преступность</link>.

Торговля: прибыль от экспорта товаров будет, скорее всего, основным источником доходов города. Открывайте торговые пути как можно раньше. Крайне важно понимать, как экспортировать товары, так что обязательно прочтите статью <link=""#Trade_Title""><u>Торговля</u></link>, если с ней у вас возникают проблемы.

Добыча золота: некоторые города могут чеканить собственные деньги. Золото превращается в дебены, основную валюту Египта. Если вы заметите вкрапления металла в выходящей на поверхность горной породе, значит, вы сможете строить <link=""#GoldMine_Title""><u>золотые рудники</u></link>. Но не радуйтесь слишком сильно: в этих же местах можно добывать <link=""#GoldMine_Title""><u>медь</u></link>, которая ценится гораздо выше, хоть и не востребована так сильно, как золото. Золотые рудники работают так же, как и прочие <link=""#Industry_Title""><u>производства</u></link>, однако их производимый товар отправляется не на склады, а прямиком во дворец, где из него чеканят дебены.

Фамильные сбережения и жалование: Как и город, вы тоже можете зарабатывать деньги. Вам платят за ваши усилия в качестве городского правителя, и вы сможете получать жалование, как только построите собственный <link=""#Mansion_Title""><u>особняк</u></link>. Ваше жалование выплачивается из городской казны, и она соразмерна с вашим опытом. Вы можете изменить размер жалования, но если вы будете платить себе больше положенного вашему рангу, <link=""#Ratings_Title""><u>рейтинг Царства</u></link> может упасть. Вы также можете платить себе меньше денег или вообще отказаться от жалования, что может произвести впечатление на людей и повысить рейтинг Царства. Если ваш город испытывает финансовые трудности, не платить себе жалование — хороший способ сократить расходы. Также можно перевести семейные сбережения в городскую казну — хороший способ погасить или предотвратить долг.
Однако вы никогда не сможете перевести деньги из казны на свой семейный счёт. Это было бы хищением! На ваши семейные сбережения можно также приобрести «подарок для Египта». Такие пожертвования народу Египта или, на усмотрение вашего советника, другим египетским правителям немедленно повысят рейтинг Царства. Однако будьте осторожны с этим. Начав раздавать подарки, вы приучите получателей к ним, и они станут воспринимать их как должное. Внезапное прекращение отправки подарков может навредить вашему рейтингу."
Guide/#Money_Title,Text,,Деньги
Guide/#MonumentConstruction_Content,Text,,"Для успешного выполнения большинства миссий вам потребуется построить один или несколько монументов. Их можно строить любом порядке. В большинстве случаев мастера из <link=""#ConstructionGuilds_Title""><u>строительных артелей</u></link> будут ждать на месте строительной площадки чернорабочих из <link=""#WorkCamp_Title""><u>рабочего лагеря</u></link>, доставляющих необходимые материалы со <link=""#Storage Yard_Title""><u>склада</u></link>. Чернорабочие будут идти столько, сколько им нужно, чтобы добраться до монумента. Возведение <link=""#Sphinx_Title""><u>сфинкса</u></link> и <link=""#Obelisk_Title""><u>обелиска</u></link> устроено немного по-другому.
Рабочие вашего города могут работать над несколькими памятниками одновременно, и у вас может возникнуть соблазн приказать им это сделать. Однако имейте в виду, что такой план может оказаться не таким уж хорошим. Проблемы могут возникнуть, когда <link=""#ConstructionGuilds_Title""><u>каменотёсы</u></link> и грузчики не смогут скоординировать свою работу: пока мастера без дела будут ждать на одной площадке, чернорабочие будут осуществлять доставку строительных материалов на другую. Эта ситуация глубоко расстраивает <link=""#OverseerMonuments_Title""><u>советника по монументам</u></link>, и очень сложно согласовать непреклонные приказы грузчиков с независимым поведением каменотёсов. Лучше вообще избегать такого конфликта, возводя монументы последовательно, а не одновременно.
Кроме того, некоторые монументы возводятся внутри скал, например <link=""#AbuSimbel_Title""><u>Абу-Симбел</u></link> и <link=""#RoyalTomb_Title""><u>царские гробницы</u></link>. Чтобы узнать больше о монументах, прочитайте отдельные статьи о каждом из них."
Guide/#MonumentConstruction_Title,Text,,Строительство монументов
Guide/#Mortuary_Content,Text,,"Бальзамировщики в моргах готовят тело усопшего к путешествую в загробную жизнь. Морги улучшают <link=""#Health_Title""><u>городское здравоохранение</u></link>, должным образом заботясь об умерших. Как и остальным зданиям, моргам необходим доступ к дороге и рабочей силе. В дополнение к этому, им необходимы поставки <link=""#Weaver_Title""><u>ткани</u></link>, которую можно произвести в городе или купить у <link=""#Trade_Title""><u>торгового партнёра</u></link>. Бальзамировщики используют ткань для оборачивания тел усопших после завершения процесса бальзамирования. Хотя жители могут требовать доступ к моргам, жить рядом с ними они не захотят: морги славятся своим неприятным запахом.
<link=""#OverseerHealth_Title""><u>Советник по здравоохранению</u></link> предоставляет ценную информацию по работе моргов в вашем городе."
Guide/#Mortuary_Title,Text,,Морг
Guide/#Obelisk_Content,Text,,"Обелиск символизирует лучи солнца, на его гранях запечатлены великие дела и достижения. Обелиски изготавливаются из большого количества <link=""#StoneQuarries_Title""><u>гранита</u></link>, хранящегося на городских <link=""#StorageYard_Title""><u>складах</u></link>, причём на складах должен быть весь необходимый для строительства гранит. Наведите указатель мыши на землю, чтобы выбрать место для обелиска. Монумент можно будет установить, если у него будет зелёная проекция. Если в проекции присутствуют красные ромбы, то какая-то часть ландшафта на этом месте не позволяет построить обелиск.
После выбора площадки начинается укладка гранита. Затем <link=""#ConstructionGuilds_Title""><u>плотники</u></link> возводят строительные леса вокруг монумента, а <link=""#ConstructionGuilds_Title""><u>каменотёсы</u></link> вырезают на гранях замысловатые узоры. Для строительства обелиска не нужны чернорабочие.
Щёлкните по монументу, чтобы посетить <link=""#ConstructionForeman_Title""><u>прораба</u></link>. Он сообщит вам о ходе строительства монумента."
Guide/#Obelisk_Title,Text,,Обелиск
Guide/#OverseerCommerce_Content,Text,,"Ваш торговый советник следит за городскими <link=""#Industry_Title""><u>производствами</u></link> и <link=""#StorageYard_Title""><u>складами</u></link> и оценивает спрос, предложение и цены на товары со всего мира. Он знает, сколько каждого товара хранится в городе. Ваш торговый советник также информирует вас о текущем статусе каждого производства и помогает налаживать торговые потоки.
Он определяет, какие товары можно закупать или продавать, основываясь на установленных торговых путях. Ему можно указать, какими товарами необходимо торговать, сколько их должно храниться на складах, либо можно положиться на его мнение и позволить ему самому закупать и продавать товары по своему усмотрению. Советник достаточно опытен в этих вопросах и принимает разумные решения о том, сколько каждого товара должно быть в наличии в вашем городе. При закупках советник будет закупать товар до указанного вами уровня (или, если он руководствуется своими соображениями, будет закупать ровно столько, чтобы поддерживать небольшой излишек на складах). При продажах советник будет продавать товары при превышении заданного вами уровня, иначе, предоставленный самому себе, он оценит, нужен ли городу каждый товар для своих собственных целей, и отказывается продавать больше, чем то количество, которое, по его мнению, нужно для бесперебойной работы. Советник скрупулёзно отслеживает численность населения и пересматривает свои решения каждый раз, когда она растёт или падает.
Для того, чтобы постичь все секреты успешной торговли, обратитесь к статьям <link=""#Industry_Title""><u>Производство</u></link>, <link=""#FoodFarming_Title""><u>Пища и земледелие</u></link> и <link=""#Trade_Title""><u>Торговля</u></link>."
Guide/#OverseerCommerce_Title,Text,,Торговый советник
Guide/#OverseerDiversions_Content,Text,,"Ваш советник по развлечениям всегда знает, сколько в городе выступлений жонглёров, певцов и танцовщиц. Количество площадок для выступления важнее, чем количество <link=""#Booth_Title""><u>помостов</u></link>, <link=""#Bandstand_Title""><u>эстрад</u></link> и <link=""#Pavilion_Title""><u>сцен</u></link>, поэтому он не тратит время на их подсчёт.
Он также может сообщить количество <link=""#SenetHouse_Title""><u>домов сенета</u></link> и <link=""#Zoo_Title""><u>зоопарков</u></link>, развлекающих народ. Он определяет, сколько людей получило удовольствия от городских площадок, зоопарков и домов сенета и примерно подсчитывает удовлетворённость жителей каждым видом развлечений.
См. статью <link=""#Entertainment_Title""><u>Развлечения</u></link> для более подробной информации."
Guide/#OverseerDiversions_Title,Text,,Советник по развлечениям
Guide/#OverseerGranaries_Content,Text,,"Продовольствие и население — зависящие друг от друга термины. Советник по продовольствию ведёт подсчёт городского населения и потребляемой им пищи. Он также может представить информацию о населении в виде трёх графиков.
График «История» отображает изменение численности вашего населения. Если дела в городе идут хорошо, график будет демонстрировать рост населения.
График «Перепись» отображает ваше население в разрезе возраста, что может быть полезным для прогнозирования роста или сокращения количества <link=""#Workers_Title""><u>рабочей силы</u></link>. Дети и старики не работают, но при этом потребляют пищу, пьют пиво и разбивают посуду!
График «Общество» отображает достаток ваших жителей, измеряемый в качестве их жилья. Очень зажиточные люди (<link=""#Scribes_Title""><u>писцы</u></link>) не утруждают себя ручным трудом, поэтому с ростом благосостояния вашего города будет падать количество рабочей силы. Хотя писцы не формируют фонд рабочей силы, они платят много налогов в казну вашего дворца.
Ниже графиков есть некоторая очень полезная информация. Первая строка сообщает о том, сколько людей при текущем уровне миграции и производства пищи сможет прокормить город. Советник также знает, сколько ещё город может вместить жителей, сколько пищи припасено в амбарах и сколько переселенцев прибыло в предыдущем месяце.
Важность советника по продовольствию могут также прояснить статьи <link=""#PopulationGrowth_Title""><u>Население</u></link> и <link=""#FoodFarming_Title""><u>Пища</u></link>."
Guide/#OverseerGranaries_Title,Text,,Советник по продовольствию
Guide/#OverseerHealth_Content,Text,,"Ваш советник по здравоохранению сообщает о текущем здоровье в городе. Он подсчитывает количество работающих домов <link=""#Physician_Title""><u>лекарей</u></link> и <link=""#Dentist_Title""><u>дантистов</u></link>, <link=""#Apothecary_Title""><u>аптек</u></link> и <link=""#Mortuary_Title""><u>моргов</u></link>. Советник по здравоохранению осведомлён о возможных рисках появления малярии или болезней. Также он отслеживает общее отношение населения к предоставляемым медицинским услугам.
Статья <link=""#Health_Title""><u>Здоровье</u></link> поможет понять воздействие состояния здоровья на ваш город."
Guide/#OverseerHealth_Title,Text,,Советник по здравоохранению
Guide/#OverseerLearning_Content,Text,,"Ваш советник по образованию извещает вас состоянии образования в городе. Он сообщает количество действующих <link=""#ScribalSchool_Title""><u>школ писцов</u></link> и <link=""#Library_Title""><u>библиотек</u></link>, и сколько людей могут получать услуги образовательных учреждений. Он также оценивает доступность образования и отчитывается о нуждах граждан в сфере образования.
См. статью <link=""#Education_Title""><u>образование</u></link> для дополнительной информации."
Guide/#OverseerLearning_Title,Text,,Советник по образованию
Guide/#OverseerMilitary_Content,Text,,"Военный советник ведёт учёт городских <link=""#FortCompany_Title""><u>отрядов</u></link>, <link=""#Warship_Title""><u>военных</u></link> и <link=""#TransportShip_Title""><u>транспортных</u></link> кораблей. Он предоставляет вам отчёты как по армии, так и по флоту. В отчёте по армии советник кратко информирует вас о количестве и состоянии каждого отряда города. Он следит за их боевым духом и подготовкой, а также может выделить отряд для службы Царству, и, если кто-то запрашивает военную помощь, отослать отряд.
Щёлкните по вкладке состояния флота, чтобы просмотреть по нему отчёт. В нём приводится вся необходимая информация о военных и транспортных кораблях. Советник также может отправить военные корабли на помощь фараону или другому городу, если это необходимо.
Ваш военный советник также держит вас в курсе о боевых действиях рядом с городом. Он сообщит вам о приближении врагов или о запросе войск или кораблей. См. также статью <link=""#War_Title""><u>Война</u></link> для дальнейшей информации."
Guide/#OverseerMilitary_Title,Text,,Военный советник
Guide/#OverseerMonuments_Content,Text,,"Ваш советник по монументам может рассказать, что в данный момент мешает строительству монумента. Он также может организовать отправку необходимых <link=""#Burial_Title""><u>погребальных принадлежностей</u></link> в любую гробницу. Чтобы получить отчёт о ходе строительства, щёлкните по проекту и посетите <link=""#ConstructionForeman_Title""><u>прораба стройки</u></link>."
Guide/#OverseerMonuments_Title,Text,,Советник по монументам
Guide/#OverseerPolitical_Content,Text,,"Ваш советник по политике управляет вашими связями с остальным Египтом. Он отслеживает все запросы на товары от других городов или фараона, знает, сколько запрошенного товара город имеет на своих <link=""#StorageYard_Title""><u>складах</u></link>, и сообщит, когда вы сможете выполнить запрос. Затем вы можете приказать советнику по политике отправить товар. Как правило, рекомендуется выполнять запросы от фараона или других городов как можно быстрее. Полное игнорирование запроса может навредить <link=""#Trade_Title""><u>торговле</u></link> или даже спровоцировать нападение на город. Отправка товара с опозданием лучше, чем не отправка вовсе.
Советник по политике также помогает управлять семейными сбережениями. Ему известно, сколько на данный момент у вас сбережений и какой размер вашего жалования. Семейные сбережения переносятся от миссии к миссии, пока центральное правительство Египта не рухнет (что происходит между сменами периодов правления). По вашему приказу советник может изменить ваше жалованье, но имейте в виду, что ваши соотечественники неодобрительно относятся к тем, кто платит себе больше положенного по рангу. Траты семейных сбережений также контролируются советником по политике. Вы можете отправить подарок Египту (другим политическим лидерам или жителям других городов) или передать средства в казну своего города. Отправка подарка Египту может повысить ваш <link=""#Ratings_Title""><u>рейтинг царства</u></link>. Если у вашей семьи достаточно сбережений, вы можете выбрать один из трёх подарков для отправки. Однако не будьте слишком щедры. Если вы отправляете подарки слишком часто, получатели начнут злиться, если дары перестанут приходить. Они также склонны ожидать, что каждое подношение будет более ценным, чем предыдущее. Когда вы решите отправить подарок, советник по политике позаботится о том, чтобы он был доставлен в целости и сохранности.
Вы также можете пожертвовать свои семейные сбережения в городскую казну. Это может быть хорошей идеей, особенно в условиях, когда город находится на грани долга, который может обойтись очень дорого. Царство даст деньги взаймы городу, но ссуды дорого обходятся. Чтобы узнать больше о деньгах вашего города, щёлкните <link=""#Money_Title""><u>сюда</u></link>. Наконец, ваш советник по политике знает рейтинг Царства и общее отношение Египта к вам. Лучшим источником информации о рейтингах является ваш <link=""#OverseerRatings_Title""><u>советник по рейтингу</u></link>."
Guide/#OverseerPolitical_Title,Text,,Советник по политике
Guide/#OverseerRatings_Content,Text,,"Ваш советник по рейтингу отображает текущие городские рейтинги культуры, процветания, монументов и Царства, а также ваши цели по уровню населения. Щёлкнув по рейтингу, вы получите подсказку от советника о том, как лучше всего повысить этот рейтинг или что его сдерживает. Вы можете увидеть, как далеко ваш город продвинулся в достижении своих целей, просмотрев столбцы над каждым рейтингом. Несмотря на то, что вы, возможно, достигли рейтинга монументов, цель не будет достигнута, пока советник по монументам не отправит все необходимые погребальные принадлежности.
Чтобы получить более подробную информацию о рейтингах и их роли в игре, нажмите <link=""#Ratings_Title""><u>сюда</u></link>."
Guide/#OverseerRatings_Title,Text,,Советник по рейтингу
Guide/#OverseerTemple_Content,Text,,"Ваш советник по храмам знает, каким богам поклоняются в городе, есть ли у города бог-покровитель и, что самое важное, он также отслеживает отношение каждого бога. Советник сообщит, сколько святынь, храмов и храмовых комплексов работает в городе и требуют ли люди большего доступа к религиозным объектам. Он также может помочь спланировать праздник — нажмите для этого на кнопку «Провести новый праздник».
Выберите, в честь какого бога и какого размаха будет праздник. Имейте в виду, что для проведения праздника в вашем городе должна быть построена <link=""#FestivalSquare_Title""><u>праздничная площадь</u></link>. Для проведения грандиозного праздника в городе также должны быть запасы пива. Советник по храмам также расскажет вам о конкретных опасениях горожан относительно религии в городе.
Прочитайте о <link=""#Religion_Title""><u>религии</u></link>, чтобы узнать больше о ценности умилостивления богов."
Guide/#OverseerTemple_Title,Text,,Советник по храмам
Guide/#OverseerTreasury_Content,Text,,"Ваш советник по казне отслеживает каждый дебен, проходящий через городскую казну. Изучив его подсчёты, вы сможете понять, где можно сократить расходы или увеличить доход. Здесь также можно установить ставку налога. Значение по умолчанию в 9 процентов считается жителями разумным. Повышение ставки намного выше 9 процентов может разозлить жителей, снизить приток новых поселенцев или даже побудить людей уехать. Чем дольше налоги будут на высоком уровне, тем злее становятся люди. Чтобы узнать больше о настроениях в городе, щёлкните <link=""#PopulationGrowth_Title""><u>сюда</u></link>.
В сводке также указывается, сколько налогов собрано, сколько горожан учтено как налогоплательщики и сколько денег не было собрано из-за недостаточного количества сборщиков налогов. Используйте слой налогов, чтобы найти районы, в которых не платят налоги. Кроме того, имейте в виду, что люди очень волнуются, когда одни районы платят налоги, а другие — нет.
Смотритель также представляет вам балансовую ведомость. Строки в верхней части таблицы отражают доход города за счёт выплаты налогов, подношений и прибыли от продажи товаров. Под этим скудным списком  находится более длинный список городских расходов. Как правило, затраты на жалование и строительство будут самыми большими статьями расходов, хотя закупка товаров также может стать довольно затратной. В левой части списка для сравнения показаны результаты предыдущего года. Вы можете увидеть, не вышли ли те или иные расходы из-под контроля по сравнению с предыдущим годом. Статья <link=""#Money_Title""><u>Деньги</u></link> содержит дополнительные советы по бюджету. Статья <link=""#TaxCollector_Title""><u>Сборщики налогов</u></link> будет также полезной.
На панели советника вы увидите размер жалования, выплачиваемого рабочим, и жалования, которую выплачивают в остальном Египте. Если вы платите своим жителям больше, чем в других городах Египта, это может способствовать росту <link=""#PopulationGrowth_Title""><u>настроений в города</u></link> и стимулировать приток новых жителей. Заплатив меньше, город сэкономит деньги, но испортит настроение горожанам и спровоцирует отток жителей."
Guide/#OverseerTreasury_Title,Text,,Советник по казне
Guide/#OverseerWorkers_Content,Text,,"Ваш советник по рабочей силе отслеживает всё, что касается вашей <link=""#Workers_Title""><u>рабочей силы</u></link>: количество вакансий в разрезе отраслей и количество безработных. Он поможет вам решить проблемы, связанные с вашими работниками. Вы можете обратиться к советнику, чтобы расставить приоритеты для распределения работников. Если этого не делать, то советник назначит работников по своему усмотрению.
Чтобы выставить высший приоритет для определённой отрасли, например военной, нажмите на строку «Военные сооружения» и установите её приоритет равным 1. Вы можете назначить приоритет каждой отрасли. Но будьте осторожны: при установке приоритета советник переместит всех рабочих, чтобы заполнить конкретно эту отрасль. Это может оставить некоторые отрасли без работников. Ваш город долго не протянет, если какая-либо из его отраслей останется без рабочих. В случае нехватки рабочей силы вам, возможно, придётся часто менять приоритеты, чтобы ни одна отрасль не простаивала слишком долго.
Также можно установить приоритеты внутри категории для каждого типа здания. После выбора категории соответствующие здания будут показаны справа с теми же настройками приоритета."
Guide/#OverseerWorkers_Title,Text,,Советник по рабочей силе
Guide/#PaintMaker_Content,Text,,"Изготовителям красок для производства необходимы поставки <link=""#Barley_Title""><u>хны</u></link>. Измельчённые листья и стебли хны используются для изготовления различных красителей, которые необходимы для изготовления красок. Хну можно выращивать на фермах либо завозить через <link=""#Trade_Title""><u>торговые пути</u></link>. Как только изготовитель красок получит доступ к рабочей силе и дороге и будет снабжён хной, вы увидите как мастера изготавливают краску.
Как только она будет готова, её отправляют на <link=""#StorageYard_Title""><u>склад</u></link>. Оттуда её доставят <link=""#ConstructionGuilds_Title""><u>художникам</u></link> для росписи стен <link=""#RoyalTomb_Title""><u>царских гробниц</u></link>. Из-за неприятного запаха и постоянного шума мастерские изготовителей красок делают соседние жилые районы <link=""#HousingDesirability_Title""><u>непривлекательными</u></link>."
Guide/#PaintMaker_Title,Text,,Изготовитель красок
Guide/#Palace_Content,Text,,"Дворец является средоточием власти в городе. Дворец является ценным ресурсом в вашем городе, и его следует строить как можно раньше. В городе может быть только один дворец. В зависимости от вашего ранга и статуса города вы можете построить Дворец деревни, Дворец поселения или Дворец города. Чтобы иметь возможность собирать <link=""#Money_Title""><u>налоги</u></link>, в городе должен быть дворец. В дворцовых хранилищах хранится часть казны города.
Если вашему городу посчастливилось находиться в районе <link=""#GoldMine_Title""><u>золотодобычи</u></link>, дворец выполняет ещё одну жизненно важную функцию: в него прямо из рудников доставляется золотая руда, где из неё чеканят деньги. Полученные дебены добавляются непосредственно в городскую казну. Золото никогда не продаётся и ни никуда больше, кроме дворца, не доставляется. Если фараон почтит ваш город царским визитом, он поселится во дворце. Резиденция правительства — одно из самых красивых и уважаемых зданий в вашем городе. Людям нравится жить поблизости — некоторые считают, что это укрепляет их положение в обществе. Дворцу необходим доступ к дороге и рабочей силе для выполнения своей работы. Ему также необходим доступ к подземным водам на случай визита царской особы. Следовательно, хотя бы одна часть здания должна располагаться на покрытой зелёной травой земле."
